,Open_Time,Open,High,Low,Close,Volume,MA_9,MA_27,20sma,sDev,LowerBandBB,UpperBandBB,H-L,H-PC,L-PC,TR,ATR_20,UpperBandKCLow,LowerBandKCLow,UpperBandKCMid,LowerBandKCMid,UpperBandKCHigh,LowerBandKCHigh,preSqueeze,originalSqueeze,extrSqueeze,preSqueezeIn,preSqueezeOut,originalSqueezeIn,originalSqueezeOut,extrSqueezeIn,extrSqueezeOut,squeeze,max_high,min_low,MA_20,K,x,y,x2,xy,momo,val,dir,momentum,ACTION,Trigger
1230,20210520 19:25:00,1.0115,1.0115,1.0097,1.0099,883.92011815,1.0127570665702017,1.0144588837747421,1.013825,0.0032710653342637604,1.0072828693314724,1.0203671306685276,0.0018000000000000238,0.0013999999999998458,0.0031999999999998696,0.0031999999999998696,0.004375000000000018,1.022575,1.005075,1.0203875,1.0072625,1.0182,1.00945,True,True,False,False,True,False,True,False,False,red,1.0216,1.0076,1.014073408563054,2.028673408563054,1230,-0.004436704281526982,1512900,-5.457146266278188,-0.29957083884420005,neg,dn,red,close,NO
1231,20210520 19:26:00,1.0108,1.012,1.0086,1.01,7241.45112142,1.0122056532561614,1.0141403920765462,1.0135800000000001,0.003368366775874031,1.006843266448252,1.0203167335517482,0.0034000000000000696,0.0020999999999999908,0.0013000000000000789,0.0034000000000000696,0.0042000000000000145,1.02198,1.0051800000000002,1.0198800000000001,1.0072800000000002,1.0177800000000001,1.0093800000000002,True,False,False,False,True,False,False,False,False,yellow,1.0216,1.0076,1.0136854648903824,2.0282854648903825,1231,-0.004142732445191255,1515361,-5.099703640030435,-0.3159365412693141,neg,dn,red,close,NO
1232,20210520 19:27:00,1.0083,1.01,1.008,1.0099,399.02683992,1.011744522604929,1.0138375069282215,1.01356,0.0033899852507009447,1.006780029498598,1.020339970501402,0.0020000000000000018,0.0,0.0020000000000000018,0.0020000000000000018,0.004045000000000021,1.0216500000000002,1.0054699999999999,1.0196275000000001,1.0074925,1.017605,1.009515,True,False,False,False,True,False,False,False,False,yellow,1.0216,1.0076,1.0133249444246317,2.027924944424632,1232,-0.004062472212315926,1517824,-5.004965765573221,-0.37321809516083215,neg,dn,red,close,NO
1233,20210520 19:28:00,1.01,1.0123,1.01,1.0123,1115.48710782,1.0118556180839433,1.0137276850047772,1.01352,0.0034004024529568962,1.0067191950940861,1.0203208049059138,0.0022999999999999687,0.0023999999999999577,9.999999999998899e-05,0.0023999999999999577,0.003860000000000019,1.02124,1.0058,1.01931,1.00773,1.01738,1.00966,True,False,False,False,True,False,False,False,False,yellow,1.0216,1.0076,1.013227330669905,2.027827330669905,1233,-0.001613665334952552,1520289,-1.9896493579964967,-0.3612500452819675,neg,up,yellow,close,NO
1234,20210520 19:29:00,1.0085,1.0096,1.0085,1.0096,1999.90525026,1.0114044944671545,1.0134328503615788,1.01322,0.0034711745319919445,1.006277650936016,1.020162349063984,0.001100000000000101,0.0026999999999999247,0.0038000000000000256,0.0038000000000000256,0.003925000000000012,1.02107,1.00537,1.0191075,1.0073325,1.017145,1.009295,True,False,False,False,True,False,False,False,False,yellow,1.0216,1.0076,1.0128818706061045,2.0274818706061044,1234,-0.004140935303052151,1522756,-5.109914163966355,-0.3760187484513088,neg,dn,red,close,NO
1235,20210520 19:30:00,1.012,1.012,1.0119,1.0119,11.8192612,1.0115035955737235,1.0133233610500374,1.01296,0.003358163658588692,1.0062436726828228,1.0196763273171774,9.999999999998899e-05,0.0023999999999999577,0.0022999999999999687,0.0023999999999999577,0.0037600000000000077,1.02048,1.0054400000000001,1.0186000000000002,1.00732,1.01672,1.0092,True,False,False,False,True,False,False,False,False,yellow,1.0216,1.0076,1.0127883591198088,2.0273883591198087,1235,-0.001794179559904352,1525225,-2.215811756481875,-0.33049145268141966,neg,up,yellow,close,NO
1236,20210520 19:31:00,1.0139,1.0174,1.0139,1.0174,2265.82850619,1.0126828764589788,1.0136145495464632,1.01294,0.003328884750810947,1.006282230498378,1.0195977695016218,0.0035000000000000586,0.00550000000000006,0.0020000000000000018,0.00550000000000006,0.0038900000000000046,1.0207199999999998,1.00516,1.018775,1.007105,1.01683,1.00905,True,False,False,True,False,False,False,False,False,pink,1.0216,1.0076,1.0132275630131604,2.027827563013161,1236,0.0034862184934196794,1527696,4.308966057866724,-0.17972015786543727,neg,up,yellow,close,NO
1237,20210520 19:32:00,1.0175,1.0245,1.0175,1.0245,620.00983986,1.015046301167183,1.0143920817217158,1.013185,0.0039644837720588634,1.0052560324558824,1.0211139675441177,0.006999999999999895,0.007099999999999884,9.999999999998899e-05,0.007099999999999884,0.004114999999999991,1.021415,1.004955,1.0193575,1.0070125,1.0173,1.00907,True,False,False,False,True,False,False,False,False,yellow,1.0245,1.0076,1.0143011284404784,2.0303511284404783,1237,0.009324435779760831,1530169,11.534327059564148,0.09024638778050709,pos,up,cyan,buy,NO
1238,20210520 19:33:00,1.0241,1.0303,1.0241,1.0303,3011.6319381,1.0180970409337466,1.015528361598736,1.01374,0.0053764006742891045,1.0029871986514218,1.0244928013485783,0.006199999999999983,0.005800000000000027,0.00039999999999995595,0.006199999999999983,0.004294999999999982,1.02233,1.0051500000000002,1.0201825,1.0072975000000002,1.018035,1.0094450000000001,False,False,False,False,False,False,False,False,False,green,1.0303,1.0076,1.0158248304937663,2.0347748304937663,1238,0.012912584753116851,1532644,15.985779924358662,0.40874503112109384,pos,up,cyan,NO,NO
1239,20210520 19:34:00,1.0302,1.0365,1.0296,1.0362,14943.79166484,1.0217176327469972,1.0170049071988265,1.014885,0.007352928167169011,1.000179143665662,1.0295908563343381,0.006899999999999906,0.006199999999999983,0.0006999999999999229,0.006899999999999906,0.004294999999999982,1.023475,1.0062950000000002,1.0213275,1.0084425000000001,1.01918,1.01059,False,False,False,False,False,False,False,False,False,green,1.0365,1.0076,1.0177653228276935,2.0398153228276934,1239,0.01629233858615331,1535121,20.18620750824395,0.7150550281566526,pos,up,cyan,NO,NO
1240,20210520 19:35:00,1.0324,1.0357,1.0314,1.0357,13476.650123601157,1.0245141061975978,1.018340270970339,1.0161250000000002,0.008626390048167589,0.998872219903665,1.0333777800963353,0.0042999999999999705,0.0004999999999999449,0.0047999999999999154,0.0047999999999999154,0.004279999999999973,1.024685,1.0075650000000003,1.022545,1.0097050000000003,1.0204050000000002,1.011845,False,False,False,False,False,False,False,False,False,green,1.0365,1.0076,1.0194733873202941,2.0415233873202943,1240,0.014938306339852936,1537600,18.52349986141764,0.9482521683322975,pos,up,cyan,NO,NO
1241,20210520 19:36:00,1.0355,1.038,1.0355,1.038,1375.86406177832,1.0272112849580783,1.0197445373296006,1.0175100000000001,0.009787473196842618,0.9979350536063148,1.0370849463936853,0.0024999999999999467,0.0022999999999999687,0.00019999999999997797,0.0024999999999999467,0.0042699999999999735,1.0260500000000001,1.0089700000000001,1.0239150000000001,1.0111050000000001,1.0217800000000001,1.0132400000000001,False,False,False,False,False,False,False,False,False,green,1.038,1.0076,1.0212378266231232,2.044037826623123,1241,0.01598108668843845,1540081,19.83252858035212,1.166359104680792,pos,up,cyan,NO,NO
1242,20210520 19:37:00,1.0353,1.0382,1.0352,1.037,1812.24798294,1.0291690279664627,1.0209770703774863,1.0189,0.010493757542862553,0.9979124849142749,1.039887515085725,0.0030000000000001137,0.00019999999999997797,0.0028000000000001357,0.0030000000000001137,0.00431499999999998,1.0275299999999998,1.01027,1.0253724999999998,1.0124275,1.023215,1.0145849999999998,False,False,False,False,False,False,False,False,False,green,1.0382,1.0076,1.0227389859923497,2.0456389859923494,1242,0.014180507003825227,1542564,17.61218969875093,1.3098946321268068,pos,up,cyan,NO,NO
1243,20210520 19:38:00,1.0383,1.0415,1.0383,1.0415,1528.76615118,1.0316352223731702,1.0224429939219515,1.02037,0.01150185797347834,0.9973662840530433,1.0433737159469567,0.0032000000000000917,0.0045000000000001705,0.0013000000000000789,0.0045000000000001705,0.004299999999999993,1.02897,1.01177,1.02682,1.01392,1.02467,1.01607,False,False,False,False,False,False,False,False,False,green,1.0415,1.0076,1.0245257492311737,2.0490757492311737,1243,0.016962125384413218,1545049,21.08392185282563,1.5037345991351092,pos,up,cyan,NO,NO
1244,20210520 19:39:00,1.0395,1.0395,1.0339,1.0381,4010.02239425,1.0329281778985362,1.023561351498955,1.021485,0.012100816631858172,0.9972833667362836,1.0456866332637162,0.005600000000000049,0.0020000000000000018,0.007600000000000051,0.007600000000000051,0.004379999999999995,1.0302449999999999,1.012725,1.028055,1.014915,1.025865,1.017105,False,False,False,False,False,False,False,False,False,green,1.0415,1.0076,1.025818535018681,2.050368535018681,1244,0.01291573249065947,1547536,16.06717121838038,1.6275574944542015,pos,up,cyan,NO,NO
1245,20210520 19:40:00,1.0372,1.0408,1.0369,1.0408,2443.20315292,1.034502542318829,1.0247926835347438,1.022645,0.012800554058730628,0.9970438918825387,1.0482461081174612,0.0039000000000000146,0.0026999999999999247,0.0012000000000000899,0.0039000000000000146,0.004464999999999997,1.0315750000000001,1.013715,1.0293425,1.0159475,1.02711,1.01818,False,False,False,False,False,False,False,False,False,green,1.0415,1.0076,1.0272453412073779,2.051795341207378,1245,0.014902329396310865,1550025,18.553400098407028,1.7883496378403585,pos,up,cyan,NO,NO
