,symbol,name,baseCurrency,quoteCurrency,feeCurrency,market,baseMinSize,quoteMinSize,baseMaxSize,quoteMaxSize,baseIncrement,quoteIncrement,priceIncrement,priceLimitRate,isMarginEnabled,enableTrading
345,USDN-USDT,USDN-USDT,USDN,USDT,USDT,DeFi,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
346,XSR-USDT,XSR-USDT,XSR,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
347,COMP-USDT,COMP-USDT,COMP,USDT,USDT,DeFi,0.0001,0.01,10000000000,99999999,0.0001,0.01,0.01,0.1,True,True
348,CRO-USDT,CRO-USDT,CRO,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
349,DGTX-ETH,DGTX-ETH,DGTX,ETH,ETH,ALTS,0.01,0.00001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
350,DGTX-BTC,DGTX-BTC,DGTX,BTC,BTC,BTC,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
351,KAI-USDT,KAI-USDT,KAI,USDT,USDT,USDS,10,0.01,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
352,KAI-BTC,KAI-BTC,KAI,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
353,WEST-BTC,WEST-BTC,WEST,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
354,WEST-USDT,WEST-USDT,WEST,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
355,EWT-BTC,EWT-BTC,EWT,BTC,BTC,BTC,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
356,WAVES-USDT,WAVES-USDT,WAVES,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
357,WAVES-BTC,WAVES-BTC,WAVES,BTC,BTC,DeFi,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
358,ORN-USDT,ORN-USDT,ORN,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
359,AMPL-ETH,AMPL-ETH,AMPL,ETH,ETH,DeFi,0.01,0.00001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
360,BNS-USDT,BNS-USDT,BNS,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
361,BNS-BTC,BNS-BTC,BNS,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
362,MKR-USDT,MKR-USDT,MKR,USDT,USDT,DeFi,0.001,1,10000000000,99999999,0.0001,0.01,0.01,0.1,True,True
363,SUKU-BTC,SUKU-BTC,SUKU,BTC,BTC,DeFi,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
364,MLK-BTC,MLK-BTC,MLK,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
365,MLK-USDT,MLK-USDT,MLK,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
366,JST-USDT,JST-USDT,JST,USDT,USDT,DeFi,1,0.01,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
367,KAI-ETH,KAI-ETH,KAI,ETH,ETH,ALTS,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
368,SUKU-USDT,SUKU-USDT,SUKU,USDT,USDT,DeFi,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
369,DIA-USDT,DIA-USDT,DIA,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
370,DIA-BTC,DIA-BTC,DIA,BTC,BTC,DeFi,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
371,LINK-BTC,LINK-BTC,LINK,BTC,BTC,DeFi,0.001,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
372,LINK-USDT,LINK-USDT,LINK,USDT,USDT,DeFi,0.001,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
373,DMG-USDT,DMG-USDT,DMG,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
374,DOT-USDT,DOT-USDT,DOT,USDT,USDT,Polkadot,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
375,DOT-BTC,DOT-BTC,DOT,BTC,BTC,Polkadot,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
376,SHA-BTC,SHA-BTC,SHA,BTC,BTC,DeFi,2000,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
377,SHA-USDT,SHA-USDT,SHA,USDT,USDT,DeFi,2000,0.1,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
378,EWT-USDT,EWT-USDT,EWT,USDT,USDT,USDS,0.001,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
379,USDJ-USDT,USDJ-USDT,USDJ,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
380,EFX-BTC,EFX-BTC,EFX,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
381,CKB-BTC,CKB-BTC,CKB,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
382,CKB-USDT,CKB-USDT,CKB,USDT,USDT,USDS,10,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
383,UMA-USDT,UMA-USDT,UMA,USDT,USDT,DeFi,0.001,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
384,ALEPH-USDT,ALEPH-USDT,ALEPH,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
385,VELO-USDT,VELO-USDT,VELO,USDT,USDT,USDS,5,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,True,True
386,SUN-USDT,SUN-USDT,SUN,USDT,USDT,DeFi,0.001,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
387,BUY-USDT,BUY-USDT,BUY,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
388,YFI-USDT,YFI-USDT,YFI,USDT,USDT,DeFi,0.000001,0.01,10000000000,99999999,0.000001,0.01,0.01,0.1,True,True
389,LOKI-USDT,OXEN-USDT,OXEN,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
390,UNI-USDT,UNI-USDT,UNI,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
391,SNTVT-BTC,SNTVT-BTC,SNTVT,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
392,SNTVT-ETH,SNTVT-ETH,SNTVT,ETH,ETH,ALTS,10,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
393,UOS-USDT,UOS-USDT,UOS,USDT,USDT,NFT,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
394,UOS-BTC,UOS-BTC,UOS,BTC,BTC,NFT,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
395,NIM-USDT,NIM-USDT,NIM,USDT,USDT,USDS,100,0.1,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
396,DEGO-USDT,DEGO-USDT,DEGO,USDT,USDT,NFT,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
397,DEGO-ETH,DEGO-ETH,DEGO,ETH,ETH,NFT,0.1,0.0001,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
398,UDOO-ETH,UDOO-ETH,UDOO,ETH,ETH,ALTS,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
399,RFUEL-USDT,RFUEL-USDT,RFUEL,USDT,USDT,DeFi,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
400,FIL-USDT,FIL-USDT,FIL,USDT,USDT,USDS,0.0001,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
401,UBX-ETH,UBX-ETH,UBX,ETH,ETH,ALTS,10000,0.00001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
402,REAP-USDT,REAP-USDT,REAP,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
403,AAVE-USDT,AAVE-USDT,AAVE,USDT,USDT,DeFi,0.001,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,True,True
404,AAVE-BTC,AAVE-BTC,AAVE,BTC,BTC,DeFi,0.001,0.000001,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
405,TONE-BTC,TONE-BTC,TONE,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
406,TONE-ETH,TONE-ETH,TONE,ETH,ETH,ALTS,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
407,UQC-BTC,UQC-BTC,UQC,BTC,BTC,BTC,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
408,UQC-ETH,UQC-ETH,UQC,ETH,ETH,ALTS,0.01,0.00001,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
409,OPCT-BTC,OPCT-BTC,OPCT,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
410,OPCT-ETH,OPCT-ETH,OPCT,ETH,ETH,ALTS,10,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
411,PRE-USDT,PRE-USDT,PRE,USDT,USDT,USDS,10,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
412,COMB-USDT,COMB-USDT,COMB,USDT,USDT,DeFi,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
413,SHR-BTC,SHR-BTC,SHR,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
414,SHR-USDT,SHR-USDT,SHR,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
415,WIS-BTC,WIS-BTC,WIS,BTC,BTC,BTC,10,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
416,VIDT-USDT,VIDT-USDT,VIDT,USDT,USDT,NFT,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
417,UBXT-USDT,UBXT-USDT,UBXT,USDT,USDT,USDS,10,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
418,BCHA-USDT,BCHA-USDT,BCHA,USDT,USDT,USDS,0.001,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
419,ROSE-USDT,ROSE-USDT,ROSE,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,True,True
420,BTC-UST,BTC-UST,BTC,UST,UST,USDS,0.00001,0.01,1000000000,9999999,0.00000001,0.000001,0.1,0.1,False,True
421,ETH-UST,ETH-UST,ETH,UST,UST,USDS,0.0001,0.01,1000000000,99999999,0.0000001,0.000001,0.01,0.1,False,True
422,USDT-UST,USDT-UST,USDT,UST,UST,USDS,0.01,0.001,1000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
